Year,Online Goods Type,15 to 24 years,25 to 44 years,45 to 64 years,65 years and over,"Total, 15 years and over"
2018,Digital goods or services,68.4,70.2,46.0,21.7,51.8
2018,Online shoppers,86.8,92.0,77.7,44.7,76.7
2018,Other services,55.8,75.8,58.1,29.1,57.4
2018,Peer-to-peer ride services,25.3,29.1,13.7,2.9,18.0
2018,Physical goods,73.9,84.1,66.9,34.1,66.5
2020,Digital goods or services,77.2,83.7,66.3,39.0,67.7
2020,Online shoppers,89.8,94.9,83.0,54.5,81.7
2020,Other services,57.3,66.9,47.2,21.1,49.3
2020,Peer-to-peer accommodation services,8.2,15.3,8.0,3.0,9.3
2020,Physical goods,82.2,91.0,76.9,47.2,75.8
